
                              中医辞释,一坨牛屎. 4598条

刦具 刦具 吉贝之讹。“吉贝”，棉花。
肾合骨 肾合骨 即肾主骨。见该条。《素问·阴阳应象大论》：“肾生骨髓”。《素问·五脏生成篇》：“肾之合，骨也。”
肾火偏亢 肾火偏亢 又称命门火旺。指阴虚火旺，火迫精泄的证候。表现为性欲亢进、遗精、早泄等。
肾间动气 肾间动气 指真火、元阳、真阳，与命门之火的概念相同。见该条．
肾筋 肾筋 推拿六筋穴之一，又称黑筋。
肾精 肾精 ①肾脏生殖之精，属肾阴的重要组成部分。②即精液。
肾经　 肾经　 ①足少阴肾经之简称。②推拿部位，位于小指远端腹面或腕部尺侧。又名肾，肾水。
肾经咳嗽 肾经咳嗽 即肾咳。
肾经疟 肾经疟 即温疟。
肾开窍于二阴 肾开窍于二阴 二阴指前阴和后阴，即尿道和肛门。肾气助膀胱司开合，以约束尿液。肾气充足，固摄有力，膀胱开合适度，小便排泄正常。否则就会出现小便失禁、遗尿、多尿、尿潴留等异常现象。肾与大便的关系也极密切。肾阴虚，可因阴虚火旺而致大便燥结；肾阳虚，可因阳虚水泛，引起大便溏泄。
肾开窍子耳 肾开窍子耳 耳的听觉受肾精的充养，肾精充足则听力敏锐，肾精虚衰则两耳失聪。耳鸣失眠的患者，用滋补肾阴的药剂，如六味地黄汤等，可使症状改善．
肾咳　 肾咳　 兼有腰背痛的咳嗽。因腰为肾之腑，肾脉贯脊而主腰，故咳时腰背痛。
肾劳 肾劳 五劳之一。指由于饮食过多或房事过度引起的心肾不交证候。如梦遗、早泄、头晕、耳鸣、五心烦热、盗汗、无力、腰酸、腿软等。
肾囊风 肾囊风 急性者阴囊皮肤潮红、痒甚—：糜烂、渗液等。慢性者，奇痒，皮厚，皮纹加深．
肾囊痈 肾囊痈 即囊痈．
肾气 肾气 ①肾精化生之气，指肾脏的功能活动，如生长、发育和性机能的活动。②大横穴别名。
肾气不固 肾气不固 即肾固摄作用失调后出现的遗精、早泄、遗尿、尿频、尿失禁等。
肾气游风 肾气游风 病名。见《疮疡经验全书》。即小腿丹毒。表现为腿胫红肿，形如彤云，游走灼痛。
肾窍 肾窍 即耳。《素问·金匮真言论·》：“肾开窍于耳。”
肾生骨髓 肾生骨髓 也称肾主骨髓。《素问·逆调论》：“肾不生则髓不能满。”参见肾主骨条。
肾水 肾水 ①即肾阴。②推拿部位名。⑧五水的一种。因受水气影响而发生水肿，表观为因腹水而腹大脐肿，腰部疼痛，小便困难，阴部有水湿渗出，足部、下肢逆冷，面部消瘦。
肾为胃关 肾为胃关 即肾脏通过对水液代谢的调节和对脾胃运化能力的影响，以控制胃的受纳和腐熟过程。
肾哮　 肾哮　 病证名。①肾聚水上凌肺所生之哮。见《类证治裁》。②肾水衰，火盛灼肺。主证为潮热、盗汗、哮如雷鸣、面赤头痛、昼轻皮重、脉数无力。
肾消 肾消 病证名。①即下消。②指渴而饮不多，腿肿而脚先瘦，阴痿弱，尿频。见《外台秘要·卷十一》。③即强中、内消。见《张氏医通·消瘁》。
肾泄 肾泄 又名五更泄。出自《世医得效方》。为肾之元阳不足所致．主要表现为拂晓时(五更)解稀便、粘液便，或其中含有不消化食物。久之，腰膝时冷，面色黧黑、舌淡、苔白、脉沉。
肾虚 肾虚 即肾亏。指肾脏精气不足。主要表现为精神不振、头晕耳鸣、健忘失眠、腰酸腿软、遗精早泄．阳萎不举等。
肾虚不孕 肾虚不孕 病证名。见《景岳全书·妇人规》。由于肾气虚、体质弱，或房劳过度损伤肾气，冲任失养，故不能成孕．常伴有精神疲倦、头晕耳鸣、腰酸腿软、月经不调等症．
肾虚带下 肾虚带下 早婚、多产、房劳等损伤肾阳，气化不足，寒湿下注，伤及任带二脉所致。主要表现为带下量多清稀，淋漓不断，面色晦暗，腰痛如折，小腹寒，大便溏，小便清长等症。
肾虚耳鸣 肾虚耳鸣 耳鸣而伴有头晕、早泄、腰膝酸软无力、月经不调、失眠烦·躁等肾虚证候者。
肾虚滑胎 肾虚滑胎 即习惯性流产。主要表现为：多次流产、腰酸肌软、小腹下坠、胎动不安、阴道流血、头景耳鸣、两膝酸软等。
肾虚经闭 肾虚经闭 由禀赋不足、早婚、房室不节等损伤肾气，或冲任不足、宫血无源所致的月经停闭。主要表现为头晕耳鸣，腰膝酸软，小便频数，月经长期不潮等。
肾虚经行后期 肾虚经行后期 禀赋不足、早婚多产、房室不节等损伤肾气，冲任血少，不能按时输入胞宫所致。表现为经期错后，血量过少，头晕耳鸣，腰膝酸软等。
肾虚头痛 肾虚头痛 由肾虚髓海不足所致的头痛。表现为头晕空痛、耳鸣、腰膝酸软无力、舌质红、脉细弱等。
肾虚眩晕 肾虚眩晕 肾精不足，脑髓不充所致的眩晕．主要表现为：头晕耳鸣、神疲健忘、腰膝酸软等．阳虚者畏寒，阴虚者烦热。
肾虚腰痛 肾虚腰痛 肾气虚衰所致。表现为腰痛酸软、双膝无力、动后加重等。阳虚者畏寒，尿清长；阴虚者，烦热、尿黄。
肾虚遗精 肾虚遗精 思虑过度、房室不节、肾脏虚亏所致之遗精。
肾虚月经过少 肾虚月经过少 由禀赋不足、早婚多产、房室不节损伤肾元，冲任血亏所致。表现为月经量过少，色黯质稀，头晕耳鸣，腰膝酸软等。
肾岩 肾岩 即阴茎岩，生于阴茎头部的恶性肿瘤。阴茎属肾，故名之。多由肝肾素虚，又加忧思抑郁，相火内燔，湿热下注而成。初起阴茎头部或冠状沟生一肉粒，或有水液渗出。一二年后，时觉疼痛，局部肿胀，肉粒翻花如石榴子样，因而称“翻花下疳”。渐至龟头破裂，气味特臭，甚至阴茎烂掉，危及生命。
肾岩翻花 肾岩翻花 即肾岩。
肾阳 肾阳 又称元阳、肾火、真火、命门火、先天之火。见命门火条。
肾阳虚 肾阳虚 肾阳为全身机能活动的原动力，肾阳虚弱，即出现人体机能活动低下。主要表现为面色晄白，精神不振，身寒怕冷，体力下降，腰酸腿软，阳萎早泄，性欲减退，尿少浮肿，食少便稀，舌质嫩胖，舌苔白滑，脉沉无力等。
肾阴 肾阴 即肾水，又名元阴、真阴、真水。与肾阳相对而言。指本脏的阴液，主要指肾所藏之精而言，是肾功能活动所依赖的物质基础。肾阴不足，肾阳就偏亢，出现相火妄动的现象。反之，相火妄动也会耗伤肾阴，使肾精受到亏损。
肾阴虚 肾阴虚 即肾水不足，肾阳、肝火相对亢盛所致。其原因有伤精、失血、耗液，以及急性热病耗伤肾阴等。主要表现为腰酸神疲、头晕耳鸣、少寐健忘、遗精早泄、经闭不孕、口干咽痛、午后潮热、两颧微红、五心烦热、舌红无苔、脉沉细数等。
肾胀 肾胀 古病名。出自《灵枢·胀论》。主要表现为牵扯到背部的腹部胀满和腰髋疼痛．
肾之府 肾之府 指腰部。府，居住之处。肾所居之处，为腰部。《素问·脉要精微论》：“腰者，肾之府，转摇不能，肾将惫矣。”
肾主耳　 肾主耳　 肾开窍于耳，肾控制人的听觉功能，故称之。《灵枢·脉度》：“肾气通于耳，肾和则耳能闻五音矣。”
肾主骨 肾主骨 肾制约、调节着骨、骨髓的生长、发育和修复，使之坚强，以支持人体。肾精充盛，髓腔充实，骨生化有源而坚固有力。若肾精虚少，髓腔空虚，骨骼滋养无源，则脆弱无力。凡骨弱无力、腰膝酸软、脚痿不行、运动障碍等都与肾有关，都可用补肾之法治疗。根据肾主骨的原理，今用补肾之法治疗再生障碍性贫血，可获一定效果。牙和骨都是肾精所化生，故有“齿为骨之余”之说。
肾主技巧 肾主技巧 《素问·灵兰秘典论》：“肾者，作强之官，伎巧出焉。”作强，就是动作轻劲有力，精力充沛。“伎”同“技”。伎巧，就是精巧灵敏之意。肾之所以主作强、出伎巧，实际上就是它藏精、生髓、主骨功能的体现。
肾主恐 肾主恐 恐，即恐惧不安。情志活动的一种表现。古人认为“恐则气下”而伤肾，人受恐吓之后会发生突然小便失禁的现象，就是恐伤肾的一种具体表现。
肾主纳气 肾主纳气 纳，即“内”，接受、进入的意思。人的呼吸机能虽由肺执行，但吸入之气必须下纳入肾，才能完成这一过程。若肾虚不能纳气，吸入之气积于胸中，产生肺胀、喘满和壅塞。
肾主生殖 肾主生殖 肾为藏精之脏，故称．
肾主水 肾主水 肾控制水液调节之意。肾在调节体内水液平衡方面起着主导作用。其调节是由肾阴、肾阳的相互依存、制约来维持肾的开合机能。肾的阴阳平衡，开合有度，才能留清液于体内，排浊液入膀胱。《素问·逆调论》：“肾者，水脏，主津液。”
肾主先天 肾主先天 古人说“肾为先天之本”，意即人的先天的固有特征，以及生长、发育、生殖能力均与肾气的盛衰有关．
肾著 肾著 病名。出自《金匮要略·五脏风寒病积聚病脉证并治》。为肾虚腰部受寒湿引起的一种病证。主要表现为身重、腰冷似肿、如坐水中、不渴、小便正常、饮食正常等。
肾厥头痛 肾厥头痛 出自《本事方·卷二》。由于上虚下实，肾气厥逆所致。主要表现为头顶部痛不可忍，四肢逆冷、胸脘痞闷、多痰、脉弦等症。
肾腧发 肾腧发 即下塔手。
肾腧漏 肾腧漏 病名。出自《外科大成》，指生于肾腧部位之漏管，多为腰椎结核破溃所致．
肾腧虚痰 肾腧虚痰 即胸腰椎结核合并的寒性脓肿。起于腰部肾腧穴周围，色白，漫肿而硬，酸胀不舒，日久溃破流腐渣样脓液，不易收口。
肾疔 肾疔 即耳疗。肾开窍于耳，故称之。
肾疳 肾疳 五疳的一种。肾疳多由先天不足，复因肥甘不节，乳食失调致使肾脏伏热所致的小儿疾患。主要表现为面色发黑；骨瘦如柴，牙龈出血，口中臭气，乳食减少，大便滑泻，甚者肛门溃烂，脱肛等。可并见“解颅”、“鹤膝”、生齿迟、行走迟等。
肾痿 肾痿 即骨痿。因肾主骨，故名之。《医宗必读》：“肾痿者，子痿也。”
声如拽锯 声如拽锯 形容喉中有痰，呼吸时气体进出受阻，声音象拉锯一样。可见于重危证候和一些喉头阻塞严重的病人。
声重 声重 即说话的声音重浊．
生成数 生成数 最早见于《周书＝洪范》：“五行：一曰水，二曰火、三曰木、四曰金、五曰土。水曰润下、火曰炎上、木曰曲直、金曰从革、土爰稼穑。润下作咸，炎上作苦，曲直作酸，从革作辛，稼穑作甘。”这段文字中的一水、二火、三木、四金、五土的提法就是“生数”。以下则是五行性味的最早说明。五行是古代的宇宙发生观，蕴有朴素的唯物论内容。古人认为宇宙的发生最先是水，故定其数为一；其次是火，故定其数为二。水火即阴阳。分出阴阳就能够生成万物。木应春有生发万物之相，故定其数为三。有生长必有收成。金主肃杀之秋，是收成的季节，故定其数为四。土旺四时，是水、火、木、金的基础，故定其数为五。又因水、木、火、金皆须土的资助而成，所以这四者各加土的生数为“成数”。即水为六、火为七、木为八、金为九。土不用成数，唯用生数，因天地之数皆在五之中。生数等于孤阳或孤阴（奇数为阳，偶数为阴）不起变化，加上土的生数五，才能正常的生化作用。这就是“成数”的含义。参见《素问·金匮真言论＝六元正纪大论》。
生气 生气 ①名词。指自然界促使动植物生长、发育之气（动力），有“生气勃勃”之意，即元气。②动词。有增强和促使元气之意。《素问·阴阳应象大论》：“少火生气”即增强人体的元气之义。③气功术语。前人假说：昼夜十二个时辰，由子到巳六时之气为“生气”；由午时至亥时六时之气为“死气”。练功当在生气之时行气，死气之时行气是无益的。
生气之源 生气之源 生命气息或生命原动力的根源。特指肾间动气，也称原气。参见《难经＝八难》。
